gameid,title,developers,publishers,genres,supported_languages,release_date,platform
645997,Mighty Aphid 2,['Cascadia Games'],['Cascadia Games'],['Run & Gun'],,2024-02-02,xbox
653403,House Flipper 2,['Frozen District'],"['Frozen District', 'Merge Games']",['Simulation'],,2024-04-10,xbox
645899,Lords of Exile,['Squidbit Works'],['PID Games'],['Platformer'],,2024-02-14,xbox
645724,Shalnor Legends 2: Trials of Thunder,['Johnny Ostad'],['Johnny Ostad'],['Action-Adventure'],,2024-01-24,xbox
645723,Rising Lords,['Argonwood'],['Deck13 Interactive'],"['Strategy', 'Turn Based']",,2024-01-18,xbox
645721,Turnip Boy Robs a Bank,['Snoozy Kazoo'],['Graffiti Games'],"[""Shoot 'em up""]",,2024-01-18,xbox
645425,Mage and Monsters,['Lasse Zacho Malver'],['Malvzach Games'],['Roguelite'],,2024-01-17,xbox
433250,RetroMania Wrestling,['Retrosoft Studios'],['Retrosoft Studios'],"['Sports', 'Wrestling']",,2021-03-23,xbox
645230,Manitas Kitchen,['Little Arrow Games'],['Entalto Studios'],['Party'],,2024-02-09,xbox
653132,Return to Grace,['Creative Bytes Studios'],['Creative Bytes Studios'],['Adventure'],,2024-02-20,xbox
653003,Xatrom Command,['9Ratones'],['Ratalaika Games'],"[""Shoot 'em up""]",,2024-03-08,xbox
652767,qomp2,['Graphite Lab'],['Atari'],['Action'],,2024-02-20,xbox
652431,Horror Gallery,['EpiXR Games'],['EpiXR Games'],['Adventure'],,2024-03-08,xbox
644499,Witch Rise,['lightUP'],['Ratalaika Games'],['First Person Shooter'],,2024-01-19,xbox
644289,Knights of Grayfang,['EXE-CREATE'],['KEMCO'],"['Role Playing', 'Turn Based']",,2024-01-19,xbox
652173,the World According to Girl,['yondray'],['Amata'],"['Roguelite', 'Collectable Card Game']",,2024-02-15,xbox
